,date,open,high,low,close,volume,average,barCount
0,2024-04-29 04:00:00,432.75,432.94,432.35,432.49,502.1,432.68,244
1,2024-04-29 05:00:00,432.49,432.68,431.82,431.91,404.0,432.279,181
2,2024-04-29 06:00:00,431.93,432.79,431.93,432.54,394.48,432.437,162
3,2024-04-29 07:00:00,432.55,433.07,432.21,432.94,1101.76,432.664,424
4,2024-04-29 08:00:00,432.52,433.26,432.18,433.13,2266.48,432.933,766
5,2024-04-29 09:00:00,433.14,433.76,430.9,431.8,44721.55,432.225,24914
6,2024-04-29 10:00:00,431.8,432.99,431.71,432.24,35249.77,432.361,21090
7,2024-04-29 11:00:00,432.27,432.38,431.26,432.29,20145.48,431.937,11487
8,2024-04-29 12:00:00,432.31,432.93,432.17,432.53,19181.83,432.553,9845
9,2024-04-29 13:00:00,432.52,433.35,431.98,433.0,18989.54,432.77,10003
10,2024-04-29 14:00:00,432.97,432.97,431.25,432.31,23463.76,432.169,13417
11,2024-04-29 15:00:00,432.3,432.86,429.98,432.74,61331.89,431.584,32372
12,2024-04-29 16:00:00,432.76,433.33,432.74,432.91,12195.03,432.896,1808
13,2024-04-29 17:00:00,432.92,433.07,432.87,432.92,265.51,432.951,138
14,2024-04-29 18:00:00,432.99,433.0,432.75,432.81,266.24,432.842,89
15,2024-04-29 19:00:00,432.85,432.9,432.75,432.82,232.62,432.851,84
16,2024-04-30 04:00:00,432.75,432.79,432.0,432.0,406.96,432.386,197
17,2024-04-30 05:00:00,431.9,432.32,431.79,431.93,150.93,432.041,61
18,2024-04-30 06:00:00,432.06,432.55,431.96,432.51,290.75,432.311,95
19,2024-04-30 07:00:00,432.46,432.56,432.0,432.08,1170.58,432.25,329
20,2024-04-30 08:00:00,432.53,433.08,430.07,430.9,4695.96,430.783,1570
21,2024-04-30 09:00:00,430.94,432.36,430.59,431.97,26323.52,431.478,12883
22,2024-04-30 10:00:00,431.96,432.56,430.7,431.2,32421.69,431.614,17013
23,2024-04-30 11:00:00,431.19,431.23,428.65,429.43,37427.54,429.586,21395
24,2024-04-30 12:00:00,429.43,429.7,427.46,427.98,31357.28,428.557,17595
